country;fact;source
Австралия;В Австралии самое большое количество видов кенгуру в мире;db
Япония;Япония известна своей уникальной культурой и традициями;db
Италия;Италия является родиной пиццы и пасты;db
Канада;Канада имеет более 2 миллионов озер;db
Франция;Эйфелева башня в Париже была построена в 1889 году;db
Бразилия;Бразилия является самой большой страной в Южной Америке;db
Греция;Греция имеет более 2000 островов;db
Россия;В России находится самое глубокое озеро в мире - Байкал;db
Мексика;Мексика известна своими праздниками, такими как День мертвых;db
Китай;Китай является родиной чая;db
Индия;Индия является второй по численности населения страной в мире;db
Южная Корея;Южная Корея является одним из лидеров мировой электроники;db
Германия;Германия известна своими пивными фестивалями;db
Швеция;Швеция является родиной известной мебельной компании IKEA;db
Испания;Испания известна своими корридами и фламенко;db
Саудовская Аравия;Саудовская Аравия является родиной ислама;db
Нигерия;Нигерия является самой населенной страной в Африке;db
Швейцария;Швейцария известна своими часами и шоколадом;db
Аргентина;Аргентина является родиной танго;db
Норвегия;Норвегия известна своими фьордами;db