country;city1;city2;city3;city4;source
Австралия;Сидней;Мельбурн;Канберра;Брисбен;db
Германия;Мюнхен;Гамбург;Франкфурт;Берлин;db
Япония;Токио;Осака;Киото;Саппоро;db
Индия;Мумбаи;Калькутта;Нью-Дели;Бангалоре;db
Китай;Пекин;Шанхай;Гуанчжоу;Ченду;db
Франция;Марсель;Париж;Лион;Тулуза;db
Бразилия;Сан-Паулу;Сальвадор;Бразилиа;Рио-де-Жанейро;db
Канада;Торонто;Оттава;Ванкувер;Монреаль;db
Индонезия;Джакарта;Бандунг;Сурабая;Медан;db
Италия;Милан;Рим;Неаполь;Турин;db
Южная Корея;Сеул;Пусан;Инчхон;Даегу;db
Испания;Валенсия;Мадрид;Барселона;Севилья;db
Мексика;Гвадалахара;Мехико;Монтеррей;Пуэбла;db
Аргентина;Росарио;Мендоса;Буэнос-Айрес;Кордоба;db
Южная Африка;Кейптаун;Йоханнесбург;Дурбан;Претория;db
Турция;Стамбул;Измир;Анкара;Бурса;db
Нигерия;Абуджа;Лагос;Кано;Ибадан;db
Пакистан;Карачи;Лахор;Файсалабад;Исламабад;db
Ямайка;Саванна-ла-Мар;Кингстон;Монтего-Бей;Спенс-Таун;db
Хорватия;Загреб;Сплит;Дубровник;Риека;db
Греция;Афины;Ираклион;Салоники;Патры;db
Нидерланды;Амстердам;Роттердам;Утрехт;Эйндховен;db
Саудовская Аравия;Джидда;Мекка;Эр-Рияд;Медина;db
Швейцария;Женева;Базель;Берн;Цюрих;db
Австрия;Зальцбург;Вена;Грац;Инсбрук;db
Таиланд;Бангкок;Чиангмай;Паттайя;Пхукет;db
Ирландия;Корк;Лимерик;Дублин;Голуэй;db
Португалия;Коимбра;Лиссабон;Порту;Фару;db
Сингапур;Юронг-Ист;Пасир-Рис;Сингапур;Централ-Ареа;db
Египет;Александрия;Гиза;Хургада;Каир;db
Польша;Варшава;Краков;Вроцлав;Познань;db
Швеция;Гётеборг;Стокгольм;Мальмё;Уппсала;db
Румыния;Констанца;Тимишоара;Бухарест;Клуж-Напока;db
Алжир;Оран;Алжир;Константина;Аннаба;db
Ирак;Мосул;Басра;Багдад;Эрбиль;db
Колумбия;Богота;Медельин;Кали;Барранкилья;db
Украина;Харьков;Одесса;Киев;Днепр;db
Чили;Пуэрто-Монтт;Сантьяго;Вальпараисо;Консепсьон;db
Беларусь;Могилёв;Минск;Гомель;Витебск;db
Азербайджан;Баку;Гянджа;Нахичевань;Ленкорань;db
Казахстан;Нур-Султан;Алматы;Шымкент;Караганда;db
Бельгия;Антверпен;Брюссель;Гент;Льеж;db
Эстония;Таллинн;Тарту;Пярну;Нарва;db
Дания;Оденсе;Копенгаген;Орхус;Аалборг;db
Новая Зеландия;Окленд;Крайстчерч;Веллингтон;Гамильтон;db
Финляндия;Турку;Эспоо;Хельсинки;Тампере;db
Норвегия;Тронхейм;Осло;Берген;Ставангер;db
Ливия;Мисурата;Тобрук;Триполи;Бенгази;db